source_pool,source_dataset_id,resolved_openml_id,dataset_name,tabarena_problem_type,tabarena_num_instances,tabarena_domain,tabarena_reference,tabarena_data_source,in_openml_suite_457,climb_target_type,climb_IR,climb_n_instances,climb_n_features,candidate_key
tabarena_v0.1,46939,46939,kddcup09_appetency,binary,50000.0,business & marketing,guyon2009analysis,Other,True,,,,,tabarena_v0.1:46939
tabarena_v0.1,46940,46940,Marketing_Campaign,binary,2240.0,business & marketing,saldanha2020marketing,Kaggle,True,,,,,tabarena_v0.1:46940
tabarena_v0.1,46941,46941,maternal_health_risk,multiclass,1014.0,medical & healthcare,ahmed2020review,UCI,True,,,,,tabarena_v0.1:46941
tabarena_v0.1,46942,46942,miami_housing,regression,13776.0,business & marketing,bourassa2021big,OpenML,True,,,,,tabarena_v0.1:46942
tabarena_v0.1,46980,46980,MIC,multiclass,1699.0,medical & healthcare,golovenkin2020trajectories,UCI,True,,,,,tabarena_v0.1:46980
tabarena_v0.1,46969,46969,NATICUSdroid,binary,7491.0,technology & internet,mathur2021naticusdroid,UCI,True,,,,,tabarena_v0.1:46969
tabarena_v0.1,46947,46947,online_shoppers_intention,binary,12330.0,business & marketing,sakar2019real,UCI,True,,,,,tabarena_v0.1:46947
tabarena_v0.1,46949,46949,physiochemical_protein,regression,45730.0,chemistry & material science,rana2013protein,UCI,True,,,,,tabarena_v0.1:46949
tabarena_v0.1,46950,46950,polish_companies_bankruptcy,binary,5910.0,finance,zikeba2016ensemble,UCI,True,,,,,tabarena_v0.1:46950
tabarena_v0.1,46952,46952,qsar-biodeg,binary,1054.0,biology & life sciences,mansouri2013quantitative,UCI,True,,,,,tabarena_v0.1:46952
tabarena_v0.1,46953,46953,QSAR-TID-11,regression,5742.0,chemistry & material science,olier2018meta,OpenML,True,,,,,tabarena_v0.1:46953
tabarena_v0.1,46954,46954,QSAR_fish_toxicity,regression,907.0,biology & life sciences,cassotti2015similarity,UCI,True,,,,,tabarena_v0.1:46954
tabarena_v0.1,46955,46955,SDSS17,multiclass,78053.0,physics & astronomy,accetta2022seventeenth,Kaggle,True,,,,,tabarena_v0.1:46955
tabarena_v0.1,46956,46956,seismic-bumps,binary,2584.0,environmental science & climate,sikora2010application,UCI,True,,,,,tabarena_v0.1:46956
tabarena_v0.1,46958,46958,splice,multiclass,3190.0,biology & life sciences,towell1994knowledge,UCI,True,,,,,tabarena_v0.1:46958
tabarena_v0.1,46960,46960,students_dropout_and_academic_success,multiclass,4424.0,education,martins2021early,UCI,True,,,,,tabarena_v0.1:46960
tabarena_v0.1,46961,46961,superconductivity,regression,21263.0,physics & astronomy,hamidieh2018data,UCI,True,,,,,tabarena_v0.1:46961
tabarena_v0.1,46962,46962,taiwanese_bankruptcy_prediction,binary,6819.0,finance,liang2016financial,UCI,True,,,,,tabarena_v0.1:46962
tabarena_v0.1,46963,46963,website_phishing,multiclass,1353.0,technology & internet,abdelhamid2014phishing,UCI,True,,,,,tabarena_v0.1:46963
tabarena_v0.1,46964,46964,wine_quality,regression,6497.0,chemistry & material science,cortez2009modeling,UCI,True,,,,,tabarena_v0.1:46964
tabarena_v0.1,46979,46979,jm1,binary,10885.0,technology & internet,menzies2004good,OpenML,True,,,,,tabarena_v0.1:46979
climb,45717,45717,bwin_amlb,,,,,,,binary,2.011363636363636,530.0,14.0,climb:45717
climb,1046,1046,mozilla4,,,,,,,binary,2.043265465935787,15545.0,6.0,climb:1046
climb,1054,1054,mc2,,,,,,,binary,2.0961538461538463,161.0,40.0,climb:1054
climb,1511,1511,wholesale-customers,,,,,,,binary,2.0985915492957745,440.0,9.0,climb:1511
climb,1524,1524,vertebra-column,,,,,,,binary,2.1,310.0,7.0,climb:1524
climb,43904,43904,law-school-admission-bianry,,,,,,,binary,2.1072602330445176,20800.0,11.0,climb:43904
climb,833,833,bank32nh,,,,,,,binary,2.221392056626032,8192.0,33.0,climb:833
climb,846,846,elevators,,,,,,,binary,2.235672514619884,16599.0,19.0,climb:846
climb,735,735,cpu_small,,,,,,,binary,2.307226483649576,8192.0,13.0,climb:735
climb,46503,46503,Credit_Approval_Classification,,,,,,,binary,2.333333333333333,1000.0,51.0,climb:46503
climb,843,843,house_8L,,,,,,,binary,2.37841043890866,22784.0,9.0,climb:843
climb,821,821,house_16H,,,,,,,binary,2.37841043890866,22784.0,17.0,climb:821
climb,1489,1489,phoneme,,,,,,,binary,2.407313997477932,5404.0,6.0,climb:1489
climb,41945,41945,ilpd-numeric,,,,,,,binary,2.4910179640718564,583.0,11.0,climb:41945
climb,1490,1490,planning-relax,,,,,,,binary,2.5,182.0,13.0,climb:1490
climb,41150,41150,MiniBooNE,,,,,,,binary,2.563494890270966,130064.0,51.0,climb:41150
climb,733,733,machine_cpu,,,,,,,binary,2.732142857142857,209.0,7.0,climb:733
climb,42178,42178,telco-customer-churn,,,,,,,binary,2.7683253076511503,7043.0,20.0,climb:42178
climb,43,43,haberman,,,,,,,binary,2.7777777777777777,306.0,4.0,climb:43
climb,994,994,vehicle,,,,,,,binary,2.8807339449541285,846.0,19.0,climb:994
climb,796,796,cpu,,,,,,,binary,2.943396226415094,209.0,8.0,climb:796
climb,41156,41156,ada,,,,,,,binary,3.0301263362487854,4147.0,49.0,climb:41156
climb,45068,45068,adult,,,,,,,binary,3.179173440574998,48842.0,15.0,climb:45068
climb,1464,1464,blood-transfusion-service-center,,,,,,,binary,3.202247191011236,748.0,5.0,climb:1464
climb,42477,42477,default-of-credit-card-clients,,,,,,,binary,3.5207956600361663,30000.0,24.0,climb:42477
climb,46362,46362,Customer_Churn_Classification,,,,,,,binary,3.735990475417377,175028.0,25.0,climb:46362
climb,1600,1600,SPECTF,,,,,,,binary,3.854545454545456,267.0,45.0,climb:1600
climb,43439,43439,Medical-Appointment-No-Shows,,,,,,,binary,3.9521483937452393,110527.0,13.0,climb:43439
climb,976,976,JapaneseVowels,,,,,,,binary,5.171623296158612,9961.0,15.0,climb:976
climb,43893,43893,ibm-employee-attrition,,,,,,,binary,5.2025316455696204,1470.0,35.0,climb:43893
climb,1475,1475,first-order-theorem-proving,,,,,,,multiclass,5.255144032921811,6118.0,52.0,climb:1475
climb,1508,1508,user-knowledge,,,,,,,multiclass,5.375,403.0,6.0,climb:1508
climb,45560,45560,online-shoppers-intention,,,,,,,binary,5.462264150943396,12330.0,18.0,climb:45560
climb,1067,1067,kc1,,,,,,,binary,5.469325153374233,2109.0,22.0,climb:1067
climb,1506,1506,thoracic-surgery,,,,,,,binary,5.714285714285714,470.0,17.0,climb:1506
climb,44232,44232,UCI_churn,,,,,,,binary,5.900621118012422,3333.0,21.0,climb:44232
climb,949,949,arsenic-female-bladder,,,,,,,binary,5.9875,559.0,5.0,climb:949
climb,45067,45067,okcupid_stem,,,,,,,multiclass,6.826226012793177,26677.0,14.0,climb:45067
climb,40671,40671,ecoli,,,,,,,multiclass,7.15,327.0,8.0,climb:40671
climb,1049,1049,pc4,,,,,,,binary,7.191011235955056,1458.0,38.0,climb:1049
climb,1558,1558,bank-marketing,,,,,,,binary,7.677543186180422,4521.0,17.0,climb:1558
climb,43903,43903,Diabetes-130-Hospitals_(Fairlearn),,,,,,,binary,7.960641014352381,101766.0,22.0,climb:43903
climb,45548,45548,Otto-Group-Product-Classification-Challenge,,,,,,,multiclass,8.35769828926905,61878.0,94.0,climb:45548
climb,43925,43925,eucalyptus,,,,,,,multiclass,8.536679536679536,4331.0,8.0,climb:43925
climb,1019,1019,pendigits,,,,,,,binary,8.608391608391608,10992.0,17.0,climb:1019
climb,1050,1050,pc3,,,,,,,binary,8.76875,1563.0,38.0,climb:1050
climb,1021,1021,page-blocks-bin,,,,,,,binary,8.773214285714285,5473.0,11.0,climb:1021
climb,980,980,optdigits,,,,,,,binary,8.825174825174825,5620.0,65.0,climb:980
climb,1020,1020,mfeat-karhunen,,,,,,,binary,9.0,2000.0,65.0,climb:1020
climb,971,971,mfeat-fourier,,,,,,,binary,9.0,2000.0,77.0,climb:971
climb,995,995,mfeat-zernike,,,,,,,binary,9.0,2000.0,48.0,climb:995
climb,45558,45558,Pulsar-Dataset-HTRU2,,,,,,,binary,9.92007321537523,17898.0,9.0,climb:45558
climb,1016,1016,vowel,,,,,,,binary,10.0,990.0,14.0,climb:1016
climb,1565,1565,heart-h,,,,,,,multiclass,12.533333333333331,294.0,14.0,climb:1565
climb,1068,1068,pc1,,,,,,,binary,13.402597402597404,1109.0,22.0,climb:1068
climb,45562,45562,seismic-bumps,,,,,,,binary,14.2,2584.0,19.0,climb:45562
climb,1487,1487,ozone-level-8hr,,,,,,,binary,14.8375,2534.0,73.0,climb:1487
climb,41671,41671,microaggregation2,,,,,,,multiclass,15.022880215343204,20000.0,21.0,climb:41671
climb,41946,41946,Sick_numeric,,,,,,,binary,15.329004329004327,3772.0,30.0,climb:41946
climb,46281,46281,insurance_company,,,,,,,binary,15.761092150170647,9822.0,86.0,climb:46281
climb,40983,40983,wilt,,,,,,,binary,17.54022988505747,4839.0,6.0,climb:40983
climb,1217,1217,Click_prediction_small,,,,,,,binary,21.36756352765321,149639.0,12.0,climb:1217
climb,41168,41168,jannis,,,,,,,multiclass,22.834617664493184,83733.0,55.0,climb:41168
climb,977,977,letter,,,,,,,binary,23.600246002460025,20000.0,17.0,climb:977
climb,1509,1509,walking-activity,,,,,,,multiclass,24.13940724478595,149332.0,5.0,climb:1509
climb,41169,41169,helena,,,,,,,multiclass,36.08108108108108,65196.0,28.0,climb:41169
climb,310,310,mammography,,,,,,,binary,42.011538461538464,11183.0,7.0,climb:310
climb,40713,40713,dis,,,,,,,binary,64.03448275862068,3772.0,30.0,climb:40713
climb,40900,40900,Satellite,,,,,,,binary,67.0,5100.0,37.0,climb:40900
climb,43551,43551,Employee-Turnover-at-TECHCO,,,,,,,binary,68.74089068825911,34452.0,10.0,climb:43551
climb,30,30,page-blocks,,,,,,,multiclass,175.46428571428572,5473.0,11.0,climb:30
climb,40707,40707,allbp,,,,,,,multiclass,257.7857142857143,3772.0,30.0,climb:40707
climb,42397,42397,CreditCardFraudDetection,,,,,,,binary,577.8760162601626,284807.0,31.0,climb:42397
