source_pool,source_dataset_id,resolved_openml_id,dataset_name,in_openml_suite_457,candidate_key,openml_version
tabarena_v0.1,46933,46933,hiva_agnostic,True,tabarena_v0.1:46933,2
tabarena_v0.1,46934,46934,houses,True,tabarena_v0.1:46934,7
tabarena_v0.1,46935,46935,HR_Analytics_Job_Change_of_Data_Scientists,True,tabarena_v0.1:46935,1
tabarena_v0.1,46937,46937,in_vehicle_coupon_recommendation,True,tabarena_v0.1:46937,1
tabarena_v0.1,46938,46938,Is-this-a-good-customer,True,tabarena_v0.1:46938,2
tabarena_v0.1,46939,46939,kddcup09_appetency,True,tabarena_v0.1:46939,2
tabarena_v0.1,46940,46940,Marketing_Campaign,True,tabarena_v0.1:46940,1
tabarena_v0.1,46941,46941,maternal_health_risk,True,tabarena_v0.1:46941,3
tabarena_v0.1,46942,46942,miami_housing,True,tabarena_v0.1:46942,3
tabarena_v0.1,46980,46980,MIC,True,tabarena_v0.1:46980,3
tabarena_v0.1,46969,46969,NATICUSdroid,True,tabarena_v0.1:46969,3
tabarena_v0.1,46947,46947,online_shoppers_intention,True,tabarena_v0.1:46947,1
tabarena_v0.1,46949,46949,physiochemical_protein,True,tabarena_v0.1:46949,8
tabarena_v0.1,46950,46950,polish_companies_bankruptcy,True,tabarena_v0.1:46950,1
tabarena_v0.1,46952,46952,qsar-biodeg,True,tabarena_v0.1:46952,2
tabarena_v0.1,46953,46953,QSAR-TID-11,True,tabarena_v0.1:46953,2
tabarena_v0.1,46954,46954,QSAR_fish_toxicity,True,tabarena_v0.1:46954,8
tabarena_v0.1,46955,46955,SDSS17,True,tabarena_v0.1:46955,1
tabarena_v0.1,46956,46956,seismic-bumps,True,tabarena_v0.1:46956,4
tabarena_v0.1,46958,46958,splice,True,tabarena_v0.1:46958,4
tabarena_v0.1,46960,46960,students_dropout_and_academic_success,True,tabarena_v0.1:46960,1
tabarena_v0.1,46961,46961,superconductivity,True,tabarena_v0.1:46961,8
tabarena_v0.1,46962,46962,taiwanese_bankruptcy_prediction,True,tabarena_v0.1:46962,1
tabarena_v0.1,46963,46963,website_phishing,True,tabarena_v0.1:46963,1
tabarena_v0.1,46964,46964,wine_quality,True,tabarena_v0.1:46964,7
tabarena_v0.1,46979,46979,jm1,True,tabarena_v0.1:46979,3
climb,45717,45717,bwin_amlb,,climb:45717,1
climb,1046,1046,mozilla4,,climb:1046,1
climb,1054,1054,mc2,,climb:1054,1
climb,1511,1511,wholesale-customers,,climb:1511,1
climb,1524,1524,vertebra-column,,climb:1524,2
climb,43904,43904,law-school-admission-bianry,,climb:43904,3
climb,833,833,bank32nh,,climb:833,2
climb,846,846,elevators,,climb:846,2
climb,735,735,cpu_small,,climb:735,3
climb,46503,46503,Credit_Approval_Classification,,climb:46503,4
climb,843,843,house_8L,,climb:843,2
climb,821,821,house_16H,,climb:821,2
climb,1489,1489,phoneme,,climb:1489,1
climb,41945,41945,ilpd-numeric,,climb:41945,2
climb,1490,1490,planning-relax,,climb:1490,1
climb,41150,41150,MiniBooNE,,climb:41150,1
climb,733,733,machine_cpu,,climb:733,2
climb,42178,42178,telco-customer-churn,,climb:42178,1
climb,43,43,haberman,,climb:43,1
climb,994,994,vehicle,,climb:994,2
climb,796,796,cpu,,climb:796,2
climb,41156,41156,ada,,climb:41156,1
climb,45068,45068,adult,,climb:45068,4
climb,1464,1464,blood-transfusion-service-center,,climb:1464,1
climb,42477,42477,default-of-credit-card-clients,,climb:42477,1
climb,46362,46362,Customer_Churn_Classification,,climb:46362,1
climb,1600,1600,SPECTF,,climb:1600,2
climb,43439,43439,Medical-Appointment-No-Shows,,climb:43439,1
climb,976,976,JapaneseVowels,,climb:976,2
climb,43893,43893,ibm-employee-attrition,,climb:43893,1
climb,1475,1475,first-order-theorem-proving,,climb:1475,1
climb,1508,1508,user-knowledge,,climb:1508,1
climb,45560,45560,online-shoppers-intention,,climb:45560,2
climb,1067,1067,kc1,,climb:1067,1
climb,1506,1506,thoracic-surgery,,climb:1506,1
climb,44232,44232,UCI_churn,,climb:44232,1
climb,949,949,arsenic-female-bladder,,climb:949,2
climb,45067,45067,okcupid_stem,,climb:45067,1
climb,40671,40671,ecoli,,climb:40671,3
climb,1049,1049,pc4,,climb:1049,1
climb,1558,1558,bank-marketing,,climb:1558,2
climb,43903,43903,Diabetes-130-Hospitals_(Fairlearn),,climb:43903,2
climb,45548,45548,Otto-Group-Product-Classification-Challenge,,climb:45548,1
climb,43925,43925,eucalyptus,,climb:43925,4
climb,1019,1019,pendigits,,climb:1019,2
climb,1050,1050,pc3,,climb:1050,1
climb,1021,1021,page-blocks,,climb:1021,2
climb,980,980,optdigits,,climb:980,2
climb,1020,1020,mfeat-karhunen,,climb:1020,2
climb,971,971,mfeat-fourier,,climb:971,2
climb,995,995,mfeat-zernike,,climb:995,2
climb,45558,45558,Pulsar-Dataset-HTRU2,,climb:45558,2
climb,1016,1016,vowel,,climb:1016,3
climb,1565,1565,heart-h,,climb:1565,3
climb,1068,1068,pc1,,climb:1068,1
climb,45562,45562,seismic-bumps,,climb:45562,3
climb,1487,1487,ozone-level-8hr,,climb:1487,1
climb,41671,41671,microaggregation2,,climb:41671,1
climb,41946,41946,Sick_numeric,,climb:41946,2
climb,46281,46281,insurance_company,,climb:46281,1
climb,40983,40983,wilt,,climb:40983,2
climb,1217,1217,Click_prediction_small,,climb:1217,2
climb,41168,41168,jannis,,climb:41168,1
climb,977,977,letter,,climb:977,2
climb,1509,1509,walking-activity,,climb:1509,1
climb,41169,41169,helena,,climb:41169,1
climb,310,310,mammography,,climb:310,1
climb,40713,40713,dis,,climb:40713,1
climb,40900,40900,Satellite,,climb:40900,1
climb,43551,43551,Employee-Turnover-at-TECHCO,,climb:43551,1
climb,30,30,page-blocks,,climb:30,1
climb,40707,40707,allbp,,climb:40707,1
climb,42397,42397,CreditCardFraudDetection,,climb:42397,2
openml_cc18,3,3,kr-vs-kp,,openml_cc18:3,1
openml_cc18,6,6,letter,,openml_cc18:6,1
openml_cc18,11,11,balance-scale,,openml_cc18:11,1
openml_cc18,12,12,mfeat-factors,,openml_cc18:12,1
openml_cc18,14,14,mfeat-fourier,,openml_cc18:14,1
openml_cc18,15,15,breast-w,,openml_cc18:15,1
openml_cc18,16,16,mfeat-karhunen,,openml_cc18:16,1
openml_cc18,18,18,mfeat-morphological,,openml_cc18:18,1
openml_cc18,22,22,mfeat-zernike,,openml_cc18:22,1
openml_cc18,23,23,cmc,,openml_cc18:23,1
openml_cc18,28,28,optdigits,,openml_cc18:28,1
openml_cc18,29,29,credit-approval,,openml_cc18:29,1
openml_cc18,31,31,credit-g,,openml_cc18:31,1
openml_cc18,32,32,pendigits,,openml_cc18:32,1
openml_cc18,37,37,diabetes,,openml_cc18:37,1
openml_cc18,38,38,sick,,openml_cc18:38,1
openml_cc18,44,44,spambase,,openml_cc18:44,1
openml_cc18,46,46,splice,,openml_cc18:46,1
openml_cc18,50,50,tic-tac-toe,,openml_cc18:50,1
openml_cc18,54,54,vehicle,,openml_cc18:54,1
openml_cc18,151,151,electricity,,openml_cc18:151,1
openml_cc18,182,182,satimage,,openml_cc18:182,1
openml_cc18,188,188,eucalyptus,,openml_cc18:188,1
openml_cc18,300,300,isolet,,openml_cc18:300,1
openml_cc18,307,307,vowel,,openml_cc18:307,2
openml_cc18,458,458,analcatdata_authorship,,openml_cc18:458,1
openml_cc18,469,469,analcatdata_dmft,,openml_cc18:469,1
openml_cc18,554,554,mnist_784,,openml_cc18:554,1
openml_cc18,1049,1049,pc4,,openml_cc18:1049,1
openml_cc18,1050,1050,pc3,,openml_cc18:1050,1
openml_cc18,1053,1053,jm1,,openml_cc18:1053,1
openml_cc18,1063,1063,kc2,,openml_cc18:1063,1
openml_cc18,1067,1067,kc1,,openml_cc18:1067,1
openml_cc18,1068,1068,pc1,,openml_cc18:1068,1
openml_cc18,1461,1461,bank-marketing,,openml_cc18:1461,1
openml_cc18,1462,1462,banknote-authentication,,openml_cc18:1462,1
openml_cc18,1464,1464,blood-transfusion-service-center,,openml_cc18:1464,1
openml_cc18,1468,1468,cnae-9,,openml_cc18:1468,1
openml_cc18,1475,1475,first-order-theorem-proving,,openml_cc18:1475,1
openml_cc18,1478,1478,har,,openml_cc18:1478,1
openml_cc18,1480,1480,ilpd,,openml_cc18:1480,1
openml_cc18,1485,1485,madelon,,openml_cc18:1485,1
openml_cc18,1486,1486,nomao,,openml_cc18:1486,1
openml_cc18,1487,1487,ozone-level-8hr,,openml_cc18:1487,1
openml_cc18,1489,1489,phoneme,,openml_cc18:1489,1
openml_cc18,1494,1494,qsar-biodeg,,openml_cc18:1494,1
openml_cc18,1497,1497,wall-robot-navigation,,openml_cc18:1497,1
openml_cc18,1501,1501,semeion,,openml_cc18:1501,1
openml_cc18,1510,1510,wdbc,,openml_cc18:1510,1
openml_cc18,1590,1590,adult,,openml_cc18:1590,2
openml_cc18,4134,4134,Bioresponse,,openml_cc18:4134,1
openml_cc18,4534,4534,PhishingWebsites,,openml_cc18:4534,1
openml_cc18,4538,4538,GesturePhaseSegmentationProcessed,,openml_cc18:4538,1
openml_cc18,6332,6332,cylinder-bands,,openml_cc18:6332,2
openml_cc18,23381,23381,dresses-sales,,openml_cc18:23381,2
openml_cc18,23517,23517,numerai28.6,,openml_cc18:23517,2
openml_cc18,40499,40499,texture,,openml_cc18:40499,1
openml_cc18,40668,40668,connect-4,,openml_cc18:40668,2
openml_cc18,40670,40670,dna,,openml_cc18:40670,1
openml_cc18,40701,40701,churn,,openml_cc18:40701,1
openml_cc18,40923,40923,Devnagari-Script,,openml_cc18:40923,1
openml_cc18,40927,40927,CIFAR_10,,openml_cc18:40927,1
openml_cc18,40966,40966,MiceProtein,,openml_cc18:40966,4
openml_cc18,40975,40975,car,,openml_cc18:40975,3
openml_cc18,40978,40978,Internet-Advertisements,,openml_cc18:40978,2
openml_cc18,40979,40979,mfeat-pixel,,openml_cc18:40979,3
openml_cc18,40982,40982,steel-plates-fault,,openml_cc18:40982,3
openml_cc18,40983,40983,wilt,,openml_cc18:40983,2
openml_cc18,40984,40984,segment,,openml_cc18:40984,3
openml_cc18,40994,40994,climate-model-simulation-crashes,,openml_cc18:40994,4
openml_cc18,40996,40996,Fashion-MNIST,,openml_cc18:40996,1
openml_cc18,41027,41027,jungle_chess_2pcs_raw_endgame_complete,,openml_cc18:41027,1
